koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_eccen,koi_impact,koi_num_transits,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,koi_gmag,koi_rmag,koi_jmag
CANDIDATE,40.4195037,3.362,6.2560e+03,0.088069,7.51,0.2062,89.05,467,11.29,0,0.911,36,36.9,0,0,0,0,5446,4.507,0.781,0.714,,15.487,16.1,15.463,14.029
CONFIRMED,2.243380573,1.1196,8.2170e+02,0.032248,1.99,0.028,82.88,822,107.6,0,0.915,472,38.9,0,0,0,0,4149,4.698,0.564,0.578,,15.135,16.369,15.11,13.213
FALSE POSITIVE,10.40599802,6.5036,1.4489e+04,0.111248,11.23,0.0855,88.57,833,113.94,0,0.324,117,745.2,0,1,0,0,5746,4.393,0.924,0.77,,15.562,16.096,15.528,14.305
CONFIRMED,2.337437946,1.9982,9.7120e+02,0.027998,2.34,0.0325,88.19,1070,311.16,0,0.28,578,82.4,0,0,0,0,5005,4.595,0.765,0.85,,15.334,16.11,15.283,13.81
CANDIDATE,7.2406612,0.558,5.5640e+02,0.232818,19.45,0.0692,87.62,734,68.63,0,1.198,168,13.7,0,0,0,0,5005,4.595,0.765,0.85,,15.334,16.11,15.283,13.81
CANDIDATE,3.43591631,3.133,2.3200e+01,0.004612,0.55,0.0437,84.62,1272,617.61,0,0.624,357,8.7,0,0,0,0,5779,4.339,1.087,0.941,,12.791,13.111,12.732,11.811
CONFIRMED,11.59822233,2.5237,2.8045e+03,0.051287,2.65,0.0798,88.62,396,5.82,0,0.679,115,71,0,0,0,0,3688,4.79,0.473,0.503,,15.937,17.501,16.14,13.474
CONFIRMED,6.575315881,4.3084,2.7933e+03,0.049152,5.31,0.067,88.03,1015,251.38,0,0.39,205,221.1,0,0,0,0,5992,4.415,0.989,0.927,,15.312,15.797,15.275,14.071
CONFIRMED,7.275040844,7.5377,3.0010e+03,0.051358,4.86,0.0732,85.29,833,113.64,0,0.547,188,312.1,0,0,0,0,5485,4.556,0.867,0.986,,15.08,15.69,14.996,13.732
CONFIRMED,19.27153892,2.7594,1.2198e+03,0.031585,1.93,0.1171,89.97,393,5.66,0,0.031,67,37.1,0,0,0,0,4077,4.702,0.56,0.576,,15.385,16.618,15.383,13.405
CONFIRMED,10.06524317,1.369,1.0533e+03,0.031153,1.91,0.076,89.22,488,13.43,0,0.628,126,30.3,0,0,0,0,4077,4.702,0.56,0.576,,15.385,16.618,15.383,13.405
CONFIRMED,12.3935651,3.8896,9.1660e+02,0.032536,2.66,0.0983,86.13,677,49.68,0,0.883,107,35.8,0,0,0,0,5557,4.603,0.75,0.832,,15.505,16.079,15.474,14.196
CONFIRMED,43.84439721,6.802,6.1520e+02,0.025934,2.87,0.2395,88.27,531,18.77,0,0.852,29,83.7,0,0,0,0,5854,4.406,1.012,0.951,,12.882,13.293,12.85,11.752
FALSE POSITIVE,3.341913228,3.813,7.2530e+02,0.243351,21.55,0.0415,56.44,1032,268.67,0,1.213,780,39,0,1,1,0,5295,4.551,0.811,0.853,,15.629,16.325,15.556,14.14
FALSE POSITIVE,1.626630225,2.1145,1.6206e+03,0.305244,32.43,0.026,58.03,1547,1355.88,0,1.26,664,103.6,0,0,1,0,5735,4.41,0.973,0.889,,15.279,15.857,15.224,13.918
CONFIRMED,2.711504086,3.0099,8.3750e+02,0.026533,3.12,0.0401,89.81,1420,960.79,0,0.023,494,64.5,0,0,0,0,6214,4.442,1.076,1.169,,15.541,16.007,15.483,14.387
CONFIRMED,7.21203748,4.0491,9.5040e+02,0.028255,3.32,0.077,89.95,1025,260.58,0,0.012,165,51.5,0,0,0,0,6214,4.442,1.076,1.169,,15.541,16.007,15.483,14.387
FALSE POSITIVE,14.1798187,2.505,4.5990e+02,0.019561,1.88,0.1137,89.95,711,60.35,0,0.1601,,11.2,0,0,0,1,5799,4.539,0.878,0.975,,15.727,16.243,15.658,14.464
CONFIRMED,8.47237911,2.7245,1.1235e+03,0.030119,2.59,0.0778,89.95,751,75.44,0,0.022,159,47.6,0,0,0,0,5354,4.587,0.788,0.884,,15.339,15.945,15.271,14.006
CONFIRMED,60.4189369,5.039,9.3130e+02,0.027422,2.36,0.2884,89.94,390,5.49,0,0.094,22,20.1,0,0,0,0,5354,4.587,0.788,0.884,,15.339,15.945,15.271,14.006
CONFIRMED,12.61190435,5.1497,6.1056e+03,0.073758,7.4,0.1058,88.17,753,76.15,0,0.55,104,277.2,0,0,0,0,5795,4.508,0.919,0.992,,15.14,15.659,15.072,13.942
FALSE POSITIVE,1.433769925,1.8868,1.9763e+03,0.318591,46.58,0.0256,58.99,1920,3209.29,0,1.268,481,112.6,0,1,0,0,6017,4.22,1.339,1.083,,15.122,15.561,15.088,13.985
FALSE POSITIVE,10.31872301,3.836,8.7170e+02,0.247006,28.59,0.0944,78.15,876,139.26,0,1.215,130,38.2,0,1,1,0,5927,4.409,1.06,1.05,,15.065,15.603,15.003,13.817
CONFIRMED,2.539183147,2.4282,3.8210e+02,0.017724,2.06,0.0355,88.28,1332,743.09,0,0.238,528,38.9,0,0,0,0,5519,4.35,1.062,0.921,,15.026,15.535,14.987,13.812
CONFIRMED,6.770300385,2.0844,1.3040e+03,0.037414,2.77,0.064,86.84,812,102.87,0,0.838,200,50.8,0,0,0,0,5653,4.656,0.679,0.767,,15.591,16.126,15.562,14.318
FALSE POSITIVE,0.444291966,2.0792,1.0967e+04,0.396105,27.51,0.0101,39.97,1836,2706.26,0,1.258,1466,299.7,0,1,1,1,5255,4.678,0.636,0.709,,15.748,16.397,15.713,14.33
CANDIDATE,10.181584,3.5089,5.7411e+03,0.084708,7.73,0.0884,85.87,812,102.91,0,0.92,129,183.6,0,0,0,0,5988,4.541,0.836,0.885,,15.657,16.162,15.621,14.408
CONFIRMED,20.06036336,3.3203,1.4947e+03,0.036455,1.96,0.115,89.21,361,4,0,0.556,59,35.2,0,0,0,0,3950,4.754,0.493,0.502,,15.954,17.187,15.978,13.952
CONFIRMED,46.1842039,4.758,1.3947e+03,0.033974,1.83,0.2005,89.99,273,1.32,0,0.013,25,26,0,0,0,0,3950,4.754,0.493,0.502,,15.954,17.187,15.978,13.952
CONFIRMED,23.9800854,5.351,1.0400e+02,0.011879,1.31,0.1602,85.45,649,41.94,0,0.95,56,17.1,0,0,0,0,5854,4.406,1.012,0.951,,12.882,13.293,12.85,11.752
CONFIRMED,7.82502168,2.186,5.2080e+02,0.022312,1.2,0.0614,87.99,494,14.05,0,0.708,154,15.9,0,0,0,0,3950,4.754,0.493,0.502,,15.954,17.187,15.978,13.952
CONFIRMED,3.895936525,2.3111,8.5448e+03,0.08689,7.34,0.046,87.56,1005,241.62,0,0.524,275,370.8,0,0,0,0,5557,4.592,0.774,0.866,,15.725,16.318,15.676,14.364
CONFIRMED,22.36646466,5.228,9.8680e+02,0.028938,2.32,0.1449,89.26,536,19.45,0,0.4,48,32.1,0,0,0,0,5395,4.615,0.734,0.821,,15.583,16.2,15.535,14.236
CONFIRMED,1.625522174,2.38963,7.9690e+03,0.080543,9.73,0.0265,89.22,1579,1467.41,0,0.076,657,799.7,0,0,0,0,5539,4.322,1.106,0.935,,15.001,15.595,14.923,13.656
CANDIDATE,19.62034692,2.0038,2.1725e+04,0.137595,13.6,0.1389,89.66,643,40.39,0,0.458,52,340.5,0,0,0,0,5710,4.492,0.905,0.928,,15.562,16.07,15.519,14.364
FALSE POSITIVE,7.544039,6.222,3.2260e+02,0.194187,17.47,0.0731,58.94,838,116.46,0,1.175,143,14.2,1,0,1,0,5657,4.567,0.824,0.919,,15.559,16.125,15.509,14.282
CONFIRMED,9.02930689,3.1449,1.0198e+03,0.028718,2.57,0.0796,89.94,757,77.75,0,0.024,146,53.9,0,0,0,0,5349,4.526,0.82,0.824,,15.387,16.037,15.302,13.931
FALSE POSITIVE,10.32803571,7.7915,1.6918e+04,0.118805,13.28,0.0888,88.54,843,119.31,0,0.281,114,636.8,0,1,0,0,5627,4.359,1.024,0.874,,15.646,16.254,15.594,14.332
CONFIRMED,143.2063047,8.9302,1.0566e+04,0.094044,8.9,0.5336,89.83,308,2.14,0,0.379,9,138.8,0,0,0,0,5485,4.556,0.867,0.986,,15.403,16.048,15.349,13.997
CONFIRMED,6.164876,3.262,5.5800e+01,0.007192,0.79,0.0648,86.69,1021,256.35,0,0.646,207,14.4,0,0,0,0,5854,4.406,1.012,0.951,,12.882,13.293,12.85,11.752
CONFIRMED,60.32494216,6.6188,2.0280e+04,0.128744,12.19,0.2998,89.83,411,6.77,0,0.224,22,347.2,0,0,0,0,5485,4.556,0.867,0.986,,15.403,16.048,15.349,13.997
